Coin,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
OP,1.5649133333333332,36.49239496969697,95.90256220689656,0.5733316363636364,3.167872423076923
ORDI,,1.4359136799999999,,4.549698571428571,
PAXG,1.1548158274509805,,-0.46070850574712646,,-81.70532429613735
PENDLE,-9.03731672,10.045066935779817,12.718033527439026,3.5418962319999996,9.858052403508772
PENGU,0.0,4.166716381987578,-16.98377384782609,13.90658794736842,11.642146922330097
PEOPLE,,360.646005,,,0.0
PIXEL,,19.45,,13.527800000000001,
PNUT,1855.649224,31.4077196875,,19.17567395151515,98.4738976
POLYX,,44.15240592857143,,,
POPCAT,0.0,3.183741285714286,16.560698947368422,-17.81563021415608,-0.08106288347457612
PROMPT,,,6.179157848101266,55.14337963888889,-9.533896
PURR,15.190076727272725,31.490535888501746,25.8415540308642,10.521786917460316,7.522074455882353
PURR/USDC,-62.336246700000004,52.369316495270276,0.2534575828571428,17.628207315294116,-65.0103807037037
PYTH,,18.646396,0.0,19.28565762068965,8.022604783783784
RENDER,0.436749,25.926644862745096,41.45246371428571,4.332481578947369,5.2087433333333335
REQ,,,0.2603861052631579,,
REZ,,,5.824474285714286,,
RLB,,,,37.973868,0.0
RNDR,,75.1703994509804,,77.861057488,
RSR,,0.8839186666666666,6.158762153846154,,
RUNE,65.14000813559322,14.27572389041096,0.8589799999999999,7.301237423076922,5.5197296
S,-149.02233766233766,,44.95363682539683,,-0.5512095
SAND,0.9716528571428571,11.638740835051548,10.916240447368422,12.208999255319148,5.564899625000001
SCR,,50.40548,,,
SEI,,0.0008625,835.6,-13.182595914285713,16.7189121192053
SHIA,,,,91.18954766666667,0.0
SOL,56.00612583173589,19.71559259749085,189.47222430454778,284.7982433650693,216.69728189285715
SPX,,2.422044814814815,146.943567,71.22910104081632,
STG,,,,25.649108571428574,
STRK,,3.0960298214285715,,-89.37833333333333,2.372575
STX,0.0,21.03960419178082,,23.997442999999997,0.0
SUI,179.87546847791162,52.9675914715262,82.17029110691824,115.49722473295455,37.19742234408602
SUPER,,20.992058,,1.0130062857142856,3.5574000000000003
SUSHI,,4.056755126582279,,13.253027047619046,1.1074503333333332
TAO,0.0,26.25546937234043,81.02996958940398,3.2258607948369566,-3.0213093488372094
TIA,,16.012555162337662,239.3231720588235,42.42822885344828,-139.0609798888889
TNSR,0.0,4.591014323383085,4.38876215,12.240934160493827,7.629029384615385
TON,,-0.00655417391304349,,-2.563994857142857,
TRUMP,174.79581845303866,-5.754950804444446,42.80646971945701,-848.8526202254902,59.706686178041544
TRX,,8.377018799999998,,,
TST,,,,-2.6447600447761195,36.073400938775514
TURBO,,155.58123385714288,,26.960278970588234,
UNI,6.6825,-2.0939662631578946,9.605006666666666,11.599348592592593,2.834048
UNIBOT,,,,81.26394225,
USTC,,0.29030771739130434,,129.808683,36.8608245
USUAL,-75.39452322857143,27.508890229787234,488.2245036382979,87.34538134545456,49.79107914285714
VINE,,0.9819216,6.487571286764706,0.4461342828282828,6.735317182136602
VIRTUAL,29.44068303030303,72.13034013963964,67.81677225454546,-10.50629588888889,1.6670846000000001
VVV,,,34.531530034482756,42.80631576923077,15.232580046511629
W,,0.904556171779141,27.3672775,4.686170107692308,6.4333469999999995
WCT,,,32.589900425531916,,
WIF,0.0,72.089824,-237.6318999285714,7.508153,6.6161384375
WLD,4.874022,26.607149565079368,15.255353633333334,7.571789781598514,-22.8788244180791
XAI,,134.276725875,,,
XRP,-14.746725470443353,-0.09942650000000003,55.88491554477612,4.573773357142857,9.3979725
YGG,0.0,6.0024768,54.78004777777778,0.7160592727272728,9.913695
ZEN,,,,-49.17969023333333,
